word,count,happs_score,stddev
increasing,1,6.4,1.2936
desperation,1,2.7,1.9086
voices,2,5.56,1.5005
widespread,2,4.8,1.1429
times,5,5.58,1.1968
close,2,4.94,1.3911
efforts,4,5.6,1.4569
increase,2,6.56,1.1095
hate,2,2.34,1.8802
tied,2,4.4,1.3553
airlines,3,5.6,1.5908
mystery,2,5.64,1.849
breathe,1,6.28,1.5258
highly,1,6.6,1.178
perfect,1,7.42,1.7154
hot,1,5.02,1.9218
seasons,1,6.76,1.2216
output,1,5.86,1.3844
pressure,1,3.66,1.5467
questions,2,5.0,1.0498
nearly,1,5.26,1.2423
wider,1,5.34,1.0422
wealth,2,7.38,1.2271
nation,1,6.06,1.5039
prison,2,2.06,1.4765
term,1,4.94,1.5039
reuters,3,5.18,1.3656
charity,3,6.4,1.906
ban,4,2.66,1.3188
use,3,5.64,1.1563
executed,3,3.94,2.2023
deputy,1,4.68,1.3468
spokesman,1,5.06,1.1678
school,2,6.26,1.8824
thesis,1,5.35,1.8507
girl,2,7.0,1.1606
held,3,5.28,1.2784
day,2,6.24,1.3637
nice,1,7.38,1.5104
panel,2,5.54,1.2811
projects,1,5.46,1.5935
regret,1,3.12,1.507
tony,3,5.52,1.1822
blair,2,5.04,1.2115
family,4,7.72,1.3099
wounds,1,2.8,2.0203
relatives,1,6.6,1.8626
fallen,1,3.52,1.4177
offers,2,6.48,1.555
music,2,8.02,1.1156
cracks,1,4.0,1.3553
expect,1,5.9,0.9742
aims,2,6.27,1.2209
mining,1,4.84,1.5434
companies,3,5.26,1.0264
buy,1,6.28,1.3559
influence,2,5.64,1.2415
conditions,1,4.78,1.4748
guards,1,4.3,1.7173
tell,2,5.42,1.0319
trail,1,6.14,1.143
seas,1,6.86,1.6289
woman,2,6.84,1.6458
let,2,5.38,1.0079
home,5,7.14,1.8296
humanity,1,7.02,1.6265
drug,2,3.2,2.0702
mob,2,3.56,1.8644
festival,2,7.7,1.0738
chapter,2,5.6,1.2122
tobacco,1,3.48,2.1782
alive,2,7.18,1.2887
contrary,1,4.24,1.5211
turkey,7,6.16,1.8111
distance,1,4.5,1.3132
classified,1,5.34,1.4514
pages,1,5.62,0.9875
easter,1,6.88,1.698
rising,2,6.54,1.1104
suspects,3,3.6,1.1952
growing,2,6.52,0.9947
rich,2,7.98,1.3169
crisis,3,2.48,1.6689
payments,1,5.76,2.1434
politicians,2,3.34,1.1359
plants,1,7.1,1.2976
work,2,5.24,2.105
born,1,6.82,1.6499
need,2,4.84,1.4337
complaint,1,2.86,1.0104
queen,2,6.24,1.7907
elizabeth,2,6.14,1.7263
exit,1,4.78,1.5687
earthquake,2,1.9,1.1995
little,1,4.6,1.3401
subjected,1,3.86,1.3999
strife,1,4.02,1.8349
turning,3,5.32,1.019
failing,1,2.52,1.2656
southeast,1,5.68,1.2196
lung,1,5.4,1.3093
steel,1,5.08,1.1578
send,2,5.38,1.3536
art,1,6.6,1.4983
training,1,5.74,1.3969
pregnant,1,6.22,2.0829
birth,1,7.12,1.6117
defect,1,3.21,1.7005
rise,6,6.36,1.5618
leading,1,6.64,1.5086
key,3,5.82,1.0631
draft,2,5.02,1.4068
culture,1,6.72,1.8075
active,2,6.82,1.7692
program,1,5.68,1.2196
yields,1,6.2,1.4286
dividends,1,6.14,1.552
core,2,5.38,1.0859
conflicts,2,2.96,1.4563
accused,5,2.92,1.5497
look,1,5.54,1.1287
tension,1,2.94,1.5832
happened,3,5.02,1.1865
wonders,1,6.78,1.8876
long,3,4.74,1.6637
solution,6,6.84,1.3756
david,1,5.5,1.1473
choice,1,6.24,1.318
hostile,2,3.02,1.9737
cure,2,7.14,1.512
dam,1,4.84,1.2349
tests,2,4.28,1.6787
apparently,1,5.54,1.1104
expert,1,6.64,1.3211
donald,1,5.48,1.2493
trained,1,5.86,1.4984
ranks,1,5.42,1.6793
reminds,1,5.4,1.1952
boss,1,4.18,1.5868
leaving,1,3.58,1.2792
dozen,1,5.46,1.1104
violent,1,2.06,1.3463
study,2,6.12,1.6243
policies,1,5.12,1.6368
license,1,5.56,1.3426
