headline,pub_date
@TwoShotsInTheArm celebrates the vaccinations of health care workers.,2020-12-19 16:47:50
"Boris Johnson orders a severe lockdown, saying a more infectious variant of the virus is ripping through Britain.",2020-12-19 16:40:42
"Boris Johnson Tightens U.K. Lockdown, Citing Fast-Spreading Version of Virus",2020-12-19 16:35:43
"Emmanuel Macron’s condition is stable ‘compared to Friday,’ according to his doctor.",2020-12-19 16:22:47
Coronavirus cases in Syria go uncounted amid shortages of critical supplies and medical personnel.,2020-12-19 15:36:56
8 nuns died of Covid-19 within a week at a retirement home in Wisconsin.,2020-12-19 14:39:03
The New York City Sheriff’s Office has a crucial role during the pandemic.,2020-12-19 14:39:03
The pandemic pushes the start of a major 9/11 trial past the 20th anniversary of the attacks.,2020-12-19 14:39:03
"The U.S. has recorded over 250,000 cases in a day for the first time.",2020-12-19 14:39:03
"Restaurant chains are struggling to reach a unified approach, with varied rules across the U.S.",2020-12-19 14:39:03
"Greece Wants Him in Prison. Instead, He’s in the E.U. Parliament.",2020-12-19 14:26:09
Epstein Associate Is Charged With Rape of Minors in France,2020-12-19 13:37:36
"Once a Slogan of Unity, ‘Je Suis Charlie’ Now Divides France",2020-12-19 10:02:17
Lebanese Officials Try to Limit Inquiry Into Deadly Beirut Blast,2020-12-19 10:00:21
A Covid-19 Surge and Conspiracy Theories Roil Pakistan,2020-12-19 10:00:11
‘R’ is for Rohingya: Sesame Street Creates New Muppets for Refugees,2020-12-19 07:03:42
A Chinese official confirms that a million citizens received unproven homegrown vaccines.,2020-12-19 06:31:50
"The U.S. has recorded over 250,000 cases in a day for the first time.",2020-12-19 05:28:17
An American student is sentenced to 4 months in prison for violating quarantine rules in the Cayman Islands.,2020-12-19 01:27:38
Frontline workers were left off the vaccine list at Stanford Medical Center in Palo Alto. They fought back.,2020-12-19 01:11:30
"The F.D.A. approves Moderna’s Covid vaccine, adding millions more doses to the U.S. supply.",2020-12-19 00:48:05
The U.S. says employers can require workers to get the Covid-19 vaccine.,2020-12-18 23:28:41
Contact tracing is underway after a possible Covid-19-related death on a United flight.,2020-12-18 23:13:11
A Canadian’s Gripping Tale Withers Under Scrutiny,2020-12-18 22:17:48
"Freed, but Not Yet Home: Nigeria’s Abducted Schoolboys Meet President",2020-12-18 21:50:01
"An Ex-Governor Is Gunned Down, Punctuating a Deadly Year for Mexico",2020-12-18 21:36:11
Protestant Church That Found Refuge in Italy’s Hills Helps Syrians Do the Same,2020-12-18 21:26:37
South Africa announces a new coronavirus variant.,2020-12-18 20:33:42
What people with allergies need to know about the Covid vaccines.,2020-12-18 20:29:28
The F.D.A.’s emergency authorization of Moderna’s vaccine is expected today.,2020-12-18 20:28:31
