word,count,happs_score,stddev
root,1,5.8,1.2617
months,2,5.16,0.8657
study,5,6.12,1.6243
cuba,1,4.98,1.4497
high,6,6.64,1.2081
longer,3,5.18,1.1726
june,2,6.32,1.3915
mass,3,5.44,1.1095
grave,2,2.56,1.8534
canada,7,5.98,1.5318
men,1,5.94,1.3911
plead,1,3.67,1.4052
guilty,1,2.64,1.5877
publishing,1,5.92,1.1753
banned,5,2.88,1.2879
entering,1,5.78,1.016
destined,1,5.96,1.4563
enabled,1,6.39,1.3817
panel,1,5.54,1.2811
criticism,5,3.1,1.1473
nationwide,1,5.84,1.2513
stretch,1,5.66,1.5066
remains,5,4.42,1.4441
effective,2,6.76,1.2867
advisers,1,5.48,1.3738
attempts,1,5.54,1.1988
alter,1,5.32,1.2526
scientific,1,6.44,1.5274
emails,1,6.54,1.1817
april,1,6.36,1.5221
dinner,4,7.4,1.1429
elite,1,5.64,2.1308
received,3,6.34,1.1537
draws,4,6.18,1.32
swift,1,5.94,1.2683
shift,2,5.26,1.0461
attention,1,5.8,1.4846
know,10,6.1,1.3887
conditions,4,4.78,1.4748
concerned,1,4.22,1.6573
canadian,6,5.84,1.8556
dominant,1,5.19,1.9963
critical,1,3.22,1.4748
illness,1,2.0,1.178
rates,2,4.84,1.1493
lower,2,4.24,1.0797
affecting,1,5.31,1.3261
young,1,6.82,1.2403
ireland,3,5.98,1.3626
use,7,5.64,1.1563
citing,2,4.72,1.4434
blood,1,3.82,1.7922
strong,1,7.06,1.5174
trial,4,3.96,1.6898
ones,1,5.16,0.8172
makers,1,5.76,1.0012
laws,4,5.08,1.4546
worse,1,2.7,1.4178
effects,2,5.5,1.4743
aides,2,5.92,1.3827
home,8,7.14,1.8296
hide,1,4.36,1.4107
size,1,5.04,0.9681
experience,1,6.34,1.2056
march,2,5.78,1.2824
leads,1,6.06,1.0956
ethnic,2,5.84,1.3303
minister,8,5.18,1.4097
forced,4,3.16,1.2675
violated,3,2.62,1.3834
quite,1,5.32,1.7076
countries,2,5.68,0.9781
using,2,5.0,1.0498
according,5,5.1,0.9949
hope,3,7.38,1.3076
february,1,5.08,2.1077
indicates,1,5.32,1.0774
large,1,6.06,1.2683
portion,1,5.48,1.5151
staff,3,5.36,0.8751
refuse,1,3.46,0.9304
emerged,1,5.68,0.9355
michigan,1,5.32,1.2848
advised,1,5.34,1.6977
vietnam,2,4.42,1.9804
korean,1,5.48,1.4741
teacher,1,6.36,1.5354
accused,2,2.92,1.5497
rare,6,6.02,1.7201
reactions,1,5.44,0.9655
testing,3,4.9,1.4033
break,3,5.04,1.8178
aims,2,6.27,1.2209
colony,1,5.56,1.6099
issues,4,3.9,1.374
describing,1,5.62,1.3231
active,1,6.82,1.7692
strict,1,4.13,1.7646
measures,3,5.04,1.2447
faster,1,6.38,1.3536
gives,1,6.5,1.2817
glimpse,1,5.98,1.1701
mother,1,7.68,1.6714
baby,2,7.28,1.8521
deborah,1,5.18,1.4384
task,1,4.92,1.3377
january,1,5.7,1.9086
civilians,8,5.64,1.1386
