word,count,happs_score,stddev,2015,2016,2017,2018,2019
slaves,1,2.06,1.3694,1,,,,
asks,1,5.24,0.8704,1,,,,
arab,8,4.5,1.594,1,,,1,1
league,2,5.8,1.1606,1,,,,
help,5,6.08,1.4686,1,,,,
department,42,5.26,1.1031,4,1,3,2,
fights,1,3.0,1.3702,1,,,,
gay,1,4.44,2.1774,1,,,,
criticism,7,3.1,1.1473,2,,,,
visiting,4,6.6,1.2122,1,,,,
considering,1,5.6,1.1249,1,,,,
travel,8,7.18,1.4241,1,,,1,
millions,2,7.26,1.5361,1,,,,
come,4,5.82,1.0039,1,1,,1,
body,1,5.96,1.0294,1,,,,
newspapers,1,6.02,1.4637,1,,,,
covering,1,5.36,0.8751,1,,,,
scandal,3,3.18,1.5609,2,,,,
fund,4,6.04,1.1241,1,,1,1,
functioning,1,6.46,1.237,1,,,,
uses,1,5.72,1.1613,1,,,,
tool,2,5.26,1.5361,1,,,,
declared,5,5.28,1.3407,2,,,,
strategy,2,6.24,1.2382,1,,1,,
ancient,1,5.6,1.4142,1,,,,
sites,3,6.0,1.1606,1,,,,
cartoon,1,7.2,1.4428,1,,,,
diplomacy,3,5.74,1.7001,1,,,1,
board,1,4.76,1.5194,1,,,,
company,8,5.44,1.58,1,,1,2,
signing,1,6.04,1.4841,1,,,,
computer,2,7.24,1.3933,1,,,,1
failure,1,2.06,1.2191,1,,,,
leaves,2,5.62,1.7944,1,,,,
unable,2,3.1,0.8391,1,,,,
