word,count,happs_score,stddev,2020,2021,2022,2023,2024,2025
agreement,1,6.32,1.2196,,,,,,
deal,9,6.32,1.0774,1,1,,1,1,
facing,4,5.26,1.1031,,1,,,,
town,9,5.88,1.5338,1,,,3,,2
concerned,2,4.22,1.6573,,1,,,,
food,3,7.44,1.2149,,,,1,,
hands,1,6.0,1.4846,,,,,,
party,14,7.58,1.4581,1,,1,1,1,
brazilian,2,6.06,1.4486,,,,,,
author,1,5.98,1.3923,,,,,,
light,4,6.4,1.5119,1,1,,,,
mayor,5,5.26,1.3063,1,1,1,,,
plans,13,6.2,1.0102,2,1,,,4,1
sue,5,4.3,2.1595,1,,1,,,1
value,1,6.36,1.2415,,,,,,
brutal,1,2.6,2.08,,,,,,
bird,3,6.64,1.5487,,1,,,,
flu,3,2.4,1.1249,,1,,,,
humans,1,6.76,1.4507,,,,,,
regions,3,5.54,1.1104,,,1,1,,
soviet,1,4.64,1.3365,,,,,,
freedom,5,7.9,1.4178,1,,,,,1
election,22,5.18,1.3506,2,4,,2,2,2
bodies,4,4.68,1.6218,1,,1,,,
discovered,1,7.0,1.2454,,,,,,
rival,7,3.68,1.5043,,1,,,,1
headquarters,4,5.4,1.0102,,1,,,,
strength,2,7.4,1.1606,,,,,,1
seeks,2,5.68,0.9988,,,,,,
avoid,1,3.14,1.578,,,,,,
ground,4,5.26,1.2906,,,1,,,1
attacked,3,2.52,1.555,,,,,,
san,2,5.02,0.5887,,1,,,,
calls,17,5.42,1.0319,1,2,3,1,4,1
data,4,5.7,1.0738,,,,,,2
money,5,7.3,1.8434,1,2,,1,,
rules,7,4.28,1.2296,1,1,,,2,
muslim,5,4.64,1.6995,,,,,1,1
challenge,4,5.78,1.7177,,,,,,1
ideology,2,5.82,1.4387,,,,,,
emergency,53,3.06,1.7775,2,13,9,5,4,1
explosion,4,2.94,1.596,1,,,,1,1
bus,2,5.1,1.2495,,,,,,1
social,6,6.22,1.0359,,1,,,,1
accounts,6,4.96,1.4978,,,2,1,,
john,7,5.08,1.1578,2,,1,,,
bigger,1,6.38,1.3981,,,,,,
push,9,4.44,1.473,,,1,,3,3
council,4,4.94,1.3157,,,1,,1,
resolution,2,6.18,1.2887,,,,,,
combat,1,3.2,1.6782,,,,,,
international,5,6.56,1.2643,,1,1,,1,
dealt,1,5.1,1.2495,,,,,,
loses,2,2.74,1.2423,,,,,,
crucial,2,4.52,1.5418,1,,,,,
taiwan,9,5.36,1.2739,,1,1,,,
flag,1,6.26,1.3063,,,,,,
pin,1,5.1,0.8864,,,,,,
bosnia,2,4.8,1.7023,,,,,,
supporter,2,6.76,1.2216,,,,,,
sentenced,6,3.7,1.6568,2,,,,1,
planning,5,6.16,1.4619,,,2,,1,
meets,12,5.98,1.0971,,,,6,3,
said,11,5.38,0.901,,3,1,1,1,
printed,1,5.88,0.9613,,,,,,
park,1,7.08,1.3529,,,,,,
private,4,5.92,1.3529,,,1,,,
historian,1,6.06,1.4626,,,,,,
begins,4,5.94,1.1502,,1,,,1,
sentence,2,5.22,1.4469,,,,,,
dinner,5,7.4,1.1429,,1,,,,3
flavor,1,6.88,1.2229,,,,,,
target,7,5.36,1.5221,,,2,1,,
border,11,4.9,1.488,,1,2,2,,1
barely,1,4.24,1.5722,,,,,,
days,5,5.76,1.2382,1,,,1,,1
turn,2,5.2,1.2454,,,1,,,
slaves,1,2.06,1.3694,,,,,,
asks,1,5.24,0.8704,,,,,,
arab,8,4.5,1.594,,,,1,3,1
league,2,5.8,1.1606,,,1,,,
help,5,6.08,1.4686,1,2,,1,,
department,42,5.26,1.1031,4,4,8,8,8,
fights,1,3.0,1.3702,,,,,,
gay,1,4.44,2.1774,,,,,,
criticism,7,3.1,1.1473,,1,,2,2,
visiting,4,6.6,1.2122,,1,1,1,,
considering,1,5.6,1.1249,,,,,,
travel,8,7.18,1.4241,1,1,1,2,1,
